1	1104	100	728	396
2	2360	179	294	807
3	2858	279	281	777
4	3157	120	281	785
5	3297	319	275	792
6	3775	159	318	769
7	4772	140	323	214
8	5211	100	77	208
9	5450	120	87	213
10	5909	159	307	216
11	6108	140	280	217
12	6287	160	286	219
13	6846	100	213	858
14	8540	100	1214	783
15	8780	199	1248	794
16	9956	100	405	614
17	10076	100	373	633
18	10235	120	472	624
19	10534	139	253	638
20	11033	100	245	627
21	11671	119	233	606
22	12448	120	266	760
23	12588	100	250	763
24	12787	120	249	750
25	12927	120	283	756
26	13525	159	246	678
27	13824	179	252	690
28	14442	100	954	1017
29	15678	100	342	1089
30	16954	160	258	662
31	17433	100	185	651
32	18728	279	365	616
33	19346	140	165	635
34	19865	179	185	356
35	20184	120	307	191
36	21041	120	367	167
37	21739	100	90	222
38	22058	100	95	209
39	22417	179	207	589
40	22676	120	188	627
41	24809	100	1138	810
42	25009	120	1139	811
43	25208	120	1140	821
44	25926	100	1195	878
45	26045	100	1179	884
46	26325	120	1221	886
47	28099	120	1013	668
48	28338	100	1032	666
49	29196	100	993	651
50	29694	120	958	644
51	30053	120	949	717
52	30212	100	987	759
53	30990	319	1009	774
54	32027	139	194	649
55	32705	199	248	684
56	33083	120	212	711
57	33582	100	249	721
58	34280	100	256	730
59	35296	279	939	664
60	36074	180	940	640
61	36274	140	932	660
62	36473	120	954	646
63	36612	119	934	649
64	37290	359	979	645
65	37689	160	987	641
66	37988	199	981	646
67	38287	159	976	647
68	39164	160	925	663
69	39463	120	972	673
70	39862	120	950	651
71	40680	139	1060	675
72	41377	100	990	576
73	41497	120	1023	600
74	43810	100	1043	670
75	44149	140	1066	683
76	44527	140	188	655
77	46342	140	1071	663
78	46541	100	1081	677
79	47000	100	329	204
80	48156	160	1047	674
81	48336	100	1069	683
82	48595	379	217	650
83	49392	179	1007	601
84	49592	180	1005	593
85	49791	319	1013	595
86	50290	100	1008	616
87	50409	119	1034	662
88	50888	399	1023	693
89	51546	100	1027	697
90	51904	160	1017	743
91	52104	100	1004	767
92	52223	140	1024	749
93	52582	439	1009	748
94	53240	120	950	717
95	54117	140	892	776
96	54317	179	984	776
97	54576	100	975	774
98	54756	219	979	794
99	55074	200	915	809
100	55294	120	907	810
101	55972	120	1043	768
102	56610	199	1064	778
103	56969	140	1088	816
104	57407	140	1118	736
105	58803	100	1252	719
106	59082	160	1252	710
107	59481	120	300	647
108	59700	279	335	666
109	60498	140	331	659
110	60657	279	326	661
111	61056	159	272	620
112	61454	120	377	829
113	61953	100	362	1069
114	62332	100	294	738
115	62711	179	245	708
116	63129	100	241	697
117	63269	140	251	708
118	63707	120	242	700
119	63947	140	247	706
120	66937	199	156	588
121	67256	120	133	605
122	70008	140	211	604
123	70406	120	267	187
124	71762	259	1032	593
125	72340	180	985	620
126	72599	120	1051	692
127	73557	259	193	647
128	74234	140	288	205
129	74533	199	70	200
130	75291	100	175	636
131	75909	120	303	194
132	76208	120	484	209
133	76567	120	532	182
134	76906	100	692	202
135	77464	159	667	210
136	77703	160	676	211
137	78541	179	595	252
138	79299	120	498	208
139	79458	120	201	605
140	80315	100	935	742
141	80435	120	942	727
142	80734	120	1009	592
143	81352	199	1015	683
144	81671	100	1075	676
145	81910	179	1070	671
146	82429	179	321	215
147	82927	120	94	204
148	83306	140	185	654
149	83605	120	148	613
150	83944	179	241	569
151	84143	100	276	576
152	84422	100	105	593
153	85997	259	259	726
154	86297	219	261	733
155	86855	319	223	802
156	87214	120	260	784
157	87353	140	337	794
158	87652	259	253	706
159	88689	120	297	710
160	89048	100	295	701
161	89427	100	305	692
162	89686	100	267	648
163	89806	159	256	636
164	90105	100	247	630
165	90424	160	330	742
166	91201	139	337	617
167	91919	159	275	229
168	95408	179	254	723
169	95946	179	233	699
170	96186	159	261	698
171	96485	100	253	712
172	96684	180	353	685
173	97282	179	340	747
174	97621	100	261	684
175	98100	100	363	627
176	98379	120	342	632
177	99037	100	360	649
178	99176	159	349	669
179	99435	120	359	671
180	100173	339	214	574
181	101429	120	141	613
182	102007	140	166	625
183	102805	100	124	557
184	103861	100	117	689
185	104161	140	245	605
186	104579	179	165	507
187	105018	180	187	602
188	105277	100	133	570
189	105755	100	132	543
190	106015	120	137	515
191	106553	120	179	550
192	106932	139	169	537
193	107849	119	161	600
194	108048	100	193	645
195	108547	120	356	531
196	108686	140	315	523
197	109803	120	356	531
198	110740	140	287	516
199	112096	160	341	572
200	112534	160	316	508
201	113132	179	85	204
202	115226	120	351	525
203	115924	100	369	544
204	116622	100	184	630
205	116781	100	175	620
206	116921	139	159	627
207	117579	120	223	636
